the_geom,BoroCode,BoroName,BoroCD,CounDist,AssemDist,StSenDist,CongDist,street,segmentid,Rank,PMP_ID,NTA2020,Boro,Category,NTAName,FEMAFldz,FEMAFldT,HrcEvac,SHAPE_Leng
"MULTILINESTRING ((-73.89647904349488 40.855763071021514, -73.8963258909985 40.85570895894193))",2,Bronx,205,15,86,33,15,FORD STREET,9004526,4,21961,BX0603,BX,Community,Fordham Heights,X,AREA OF MINIMAL FLOOD HAZARD,,46.72956478
"MULTILINESTRING ((-74.24880339891175 40.50614467279664, -74.24969508870883 40.506003189543044))",5,Staten Island,503,51,62,24,11,SHORE ROAD,169,5,79741,SI0305,SI,Baseline,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,,253.2684712
"MULTILINESTRING ((-73.72876706817635 40.673672359540824, -73.72889807945697 40.67344602561333))",4,Queens,413,31,29,14,5,245 STREET,64121,4,64371,QN1307,QN,Community,Rosedale,X,AREA OF MINIMAL FLOOD HAZARD,5,90.11286557
"MULTILINESTRING ((-74.13150881824647 40.6403929494633, -74.13171088118132 40.64015920808925))",5,Staten Island,501,49,61,23,11,PORT RICHMOND AVENUE,160212,4,70203,SI0106,SI,Community,Port Richmond,X,AREA OF MINIMAL FLOOD HAZARD,"1,2",101.9643288
"MULTILINESTRING ((-74.1319026644091 40.64035153734859, -74.13230809826605 40.640346225887704))",5,Staten Island,501,49,61,23,11,RICHMOND TERRACE,160215,5,69851,SI0106,SI,Baseline,Port Richmond,X,AREA OF MINIMAL FLOOD HAZARD,"1,2",112.5362611
"MULTILINESTRING ((-73.7176251632152 40.74402847866976, -73.7175676349507 40.74405888295867))",4,Queens,413,23,24,11,3,UNION TURNPIKE,182591,4,60746,QN1301,QN,Community,"Glen Oaks-Floral Park-New Hyde Park,Bellerose",X,AREA OF MINIMAL FLOOD HAZARD,,19.41183399
"MULTILINESTRING ((-73.71769666108902 40.74399034618566, -73.7176251632152 40.74402847866976))",4,Queens,413,23,24,11,3,UNION TURNPIKE,182588,3,61481,QN1302,QN,Neighborhood,"Glen Oaks-Floral Park-New Hyde Park,Bellerose",X,AREA OF MINIMAL FLOOD HAZARD,,24.19759514
"MULTILINESTRING ((-73.72907856312288 40.67618982851528, -73.72815499544524 40.675874008279976))",4,Queens,413,31,29,14,5,131 ROAD,64140,5,64162,QN1307,QN,Baseline,Rosedale,X,AREA OF MINIMAL FLOOD HAZARD,6,280.8333562
"MULTILINESTRING ((-73.72815499544524 40.675874008279976, -73.72763531787378 40.675695665135436))",4,Queens,413,31,29,14,5,131 ROAD,64143,5,64162,QN1307,QN,Baseline,Rosedale,X,AREA OF MINIMAL FLOOD HAZARD,6,158.1162295
"MULTILINESTRING ((-74.2478924473082 40.50630358001183, -74.24702239025618 40.50375673158489))",5,Staten Island,503,51,62,24,11,CARTERET STREET,172,5,79700,SI0305,SI,Baseline,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,5,958.9025629
"MULTILINESTRING ((-73.72845611394203 40.67958590189186, -73.72656324236449 40.679536699399534))",4,Queens,413,31,29,14,5,129 AVENUE,64165,5,64544,QN1307,QN,Baseline,Rosedale,X,AREA OF MINIMAL FLOOD HAZARD,6,525.3238422
"MULTILINESTRING ((-73.76133519307214 40.69046793966385, -73.76090655820423 40.689568163276824))",4,Queens,412,27,29,14,5,189 STREET,64217,5,60107,QN1205,QN,Baseline,St. Albans,X,AREA OF MINIMAL FLOOD HAZARD,,348.7014192
"MULTILINESTRING ((-73.71495945689531 40.74981282015305, -73.7148724931617 40.74972800102747, -73.71480265977735 40.749629979538504, -73.71475466743516 40.74952198850982, -73.7147316857464 40.74940848524253, -73.71473474201817 40.74929453316674, -73.7147625763971 40.749185072965446, -73.71481196908275 40.749084284024505))",4,Queens,413,23,24,11,3,260 STREET,182634,4,60883,QN1301,QN,Community,Glen Oaks-Floral Park-New Hyde Park,X,AREA OF MINIMAL FLOOD HAZARD,,284.5062666
"MULTILINESTRING ((-74.06406304603578 40.59518234744739, -74.06450811270699 40.59495124941172))",5,Staten Island,502,50,64,23,11,ROBIN ROAD,105631,5,71512,SI0201,SI,Baseline,Grasmere-Arrochar-South Beach-Dongan Hills,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,"1,2",149.5540255
"MULTILINESTRING ((-73.76167589039527 40.693188106060646, -73.76141714200115 40.69264047931086))",4,Queens,412,27,33,14,5,190 STREET,64237,5,59374,QN1205,QN,Baseline,St. Albans,X,AREA OF MINIMAL FLOOD HAZARD,,212.0269428
"MULTILINESTRING ((-73.70823525794619 40.749394923183125, -73.7079477958592 40.749197559071625))",4,Queens,413,23,26,11,3,265 STREET,182658,4,60807,QN1301,QN,Community,Glen Oaks-Floral Park-New Hyde Park,X,AREA OF MINIMAL FLOOD HAZARD,,107.3052467
"MULTILINESTRING ((-73.86237342763292 40.84021459709421, -73.86189850929273 40.84051977336962))",2,Bronx,209,18,87,32,14,LAUREL DRIVE,177997,4,25252,BX0904,BX,Community,Parkchester,X,AREA OF MINIMAL FLOOD HAZARD,,172.1358993
"MULTILINESTRING ((-74.10356515797305 40.59021552452454, -74.10369859932288 40.590218628952144, -74.10383290899277 40.59021038403982, -74.1039655825129 40.590190722710055, -74.10409416333717 40.59016000740345, -74.10421636096392 40.59011902096503))",5,Staten Island,502,50,62,24,11,EAST LOOP ROAD,105530,4,73209,SI0203,SI,Community,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,X,AREA OF MINIMAL FLOOD HAZARD,,186.5432516
"MULTILINESTRING ((-73.70448170695983 40.75092444366227, -73.70419968418413 40.75016953367128))",4,Queens,413,23,26,11,3,269 STREET,182677,5,60971,QN1301,QN,Baseline,Glen Oaks-Floral Park-New Hyde Park,X,AREA OF MINIMAL FLOOD HAZARD,,285.9227568
"MULTILINESTRING ((-73.85703622058942 40.83930872738986, -73.85700870099681 40.83920372262725, -73.85699910627572 40.83909454287585, -73.85699962791655 40.83908850480602))",2,Bronx,209,18,87,32,14,MAPLE DRIVE,220078,4,25211,BX0904,BX,Community,Parkchester,X,AREA OF MINIMAL FLOOD HAZARD,6,81.07899044
"MULTILINESTRING ((-73.73856599794932 40.71045525339214, -73.73884987724597 40.70989556136033))",4,Queens,413,27,33,14,5,MONTEREY STREET,65253,5,62493,QN1303,QN,Baseline,Queens Village,X,AREA OF MINIMAL FLOOD HAZARD,,218.5736617
"MULTILINESTRING ((-73.7359065595855 40.705891684367025, -73.73607842323442 40.70547393317706))",4,Queens,413,27,33,14,5,221 STREET,65358,5,62249,QN1303,QN,Baseline,Queens Village,X,AREA OF MINIMAL FLOOD HAZARD,,159.4841333
"MULTILINESTRING ((-74.24775189414484 40.50880184461765, -74.24804593208827 40.50871564085667))",5,Staten Island,503,51,62,24,11,AMBOY ROAD,182,5,79791,SI0305,SI,Baseline,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,,87.58907087
"MULTILINESTRING ((-73.87081267194158 40.73268362960815, -73.87110977005607 40.73213270683337))",4,Queens,404,25,35,16,6,WOODHAVEN BOULEVARD,182720,3,40461,QN0601,QN,Neighborhood,"Elmhurst,Rego Park",X,AREA OF MINIMAL FLOOD HAZARD,6,216.9508863
"MULTILINESTRING ((-73.73498732064058 40.70682511718142, -73.73451933476447 40.70681253921398))",4,Queens,413,27,33,14,5,110 AVENUE,65360,5,62162,QN1303,QN,Baseline,Queens Village,X,AREA OF MINIMAL FLOOD HAZARD,,129.8311368
"MULTILINESTRING ((-73.95206219664077 40.82707978738205, -73.95260504991029 40.827286480933424))",1,Manhattan,109,7,71,31,13,WEST 145 STREET,183690,2,34638,MN0903,MN,Regional,Hamilton Heights-Sugar Hill,X,AREA OF MINIMAL FLOOD HAZARD,"2,6",168.0528082
"MULTILINESTRING ((-73.95206219664077 40.82707978738205, -73.95260504991029 40.827286480933424))",1,Manhattan,109,7,71,31,13,WEST 145 STREET,183690,2,34638,MN0903,MN,Regional,Hamilton Heights-Sugar Hill,X,AREA OF MINIMAL FLOOD HAZARD,"2,6",168.0528082
"MULTILINESTRING ((-74.1636537169628 40.57929533690526, -74.16383191526324 40.57933306439812, -74.16402161946445 40.57939130897371, -74.16420051451891 40.57946484340076))",5,Staten Island,502,51,63,24,11,STATEN IS MALL DRIVE,183559,3,74001,SI0204,SI,Neighborhood,New Springville-Willowbrook-Bulls Head-Travis,X,AREA OF MINIMAL FLOOD HAZARD,,164.637224
"MULTILINESTRING ((-73.73468787712908 40.714504487302904, -73.73385120335956 40.71430318213218))",4,Queens,413,27,33,14,5,101 AVENUE,65408,5,62321,QN1303,QN,Baseline,Queens Village,X,AREA OF MINIMAL FLOOD HAZARD,,243.2627475
"MULTILINESTRING ((-73.98420403272273 40.694853464406016, -73.9837933513148 40.69403907363753))",3,Brooklyn,302,33,52,25,8,DRIVEWAY,162857,3,2330,BK0202,BK,Neighborhood,Downtown Brooklyn-DUMBO-Boerum Hill,X,AREA OF MINIMAL FLOOD HAZARD,,317.8116633
"MULTILINESTRING ((-73.72644438655324 40.65916161508182, -73.72725413171868 40.658972186277985))",4,Queens,413,31,29,10,5,FRANKTON STREET,65760,5,64470,QN1307,QN,Baseline,Rosedale,X,AREA OF MINIMAL FLOOD HAZARD,"2,3",235.0258969
"MULTILINESTRING ((-74.11625356794276 40.60753644160475, -74.11615857877318 40.60748094839568, -74.11601008185443 40.60737434954989, -74.1158771643482 40.60725747065118))",5,Staten Island,502,50,63,24,11,TODT HILL ROAD,160408,5,73788,SI0203,SI,Baseline,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,X,AREA OF MINIMAL FLOOD HAZARD,,146.2255085
"MULTILINESTRING ((-74.11649318942978 40.60765675192022, -74.11632047797447 40.60757552862216, -74.11625356794276 40.60753644160475))",5,Staten Island,502,50,63,24,11,TODT HILL ROAD,160407,5,72794,SI0203,SI,Baseline,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,X,AREA OF MINIMAL FLOOD HAZARD,,79.75948213
"MULTILINESTRING ((-74.11625356794276 40.60753644160475, -74.11615597350605 40.60753194671125, -74.11612396112717 40.60752998980483, -74.11608595845784 40.60753500808265, -74.11605000856765 40.60754500416404, -74.11602804711863 40.60756096558237, -74.11600799810935 40.60757594349686, -74.11599602801496 40.60759594717481, -74.11598000619716 40.60763699114289, -74.1159759780426 40.607664794333374))",5,Staten Island,502,50,63,24,11,TODT HILL ROAD,143636,5,73727,SI0203,SI,Baseline,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,X,AREA OF MINIMAL FLOOD HAZARD,,107.4238164
"MULTILINESTRING ((-73.9837933513148 40.69403907363753, -73.98378557796177 40.693724140702635))",3,Brooklyn,302,33,52,25,8,DRIVEWAY,162858,3,2330,BK0202,BK,Neighborhood,Downtown Brooklyn-DUMBO-Boerum Hill,X,AREA OF MINIMAL FLOOD HAZARD,,114.7595914
"MULTILINESTRING ((-74.2483607227727 40.510084184102546, -74.2491281906908 40.509812955242424))",5,Staten Island,503,51,62,24,11,BENTLEY LANE,189,4,79609,SI0305,SI,Community,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,,235.1776772
"MULTILINESTRING ((-73.72662776791508 40.69067185882836, -73.72625831301373 40.69061086204966))",4,Queens,413,27,33,14,5,LINDEN BOULEVARD,65788,4,62597,QN1304,QN,Community,Cambria Heights,X,AREA OF MINIMAL FLOOD HAZARD,,104.8395143
"MULTILINESTRING ((-73.87968764798902 40.80755471436464, -73.87837529529565 40.807761757790836))",2,Bronx,202,17,84,34,15,VIELE AVENUE,183865,5,19864,BX0201,BX,Baseline,Hunts Point,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,4,371.0511576
"MULTILINESTRING ((-73.98846189505852 40.77404470233028, -73.98856594375725 40.77408975855301))",1,Manhattan,107,6,67,31,10,WEST 63 STREET,9006883,3,33201,MN0701,MN,Neighborhood,Upper West Side-Lincoln Square,X,AREA OF MINIMAL FLOOD HAZARD,,33.16599633
"MULTILINESTRING ((-73.72670208573292 40.690683849234595, -73.72662776791508 40.69067185882836))",4,Queens,413,27,33,14,5,LINDEN BOULEVARD,65800,4,62597,QN1304,QN,Community,Cambria Heights,X,AREA OF MINIMAL FLOOD HAZARD,,21.0676708
"MULTILINESTRING ((-73.72727222529349 40.690779144697736, -73.72678615458508 40.690698088822494))",4,Queens,413,27,33,14,5,LINDEN BOULEVARD,172078,4,62597,QN1304,QN,Community,Cambria Heights,X,AREA OF MINIMAL FLOOD HAZARD,,137.9937036
"MULTILINESTRING ((-73.72678615458508 40.690698088822494, -73.72670208573292 40.690683849234595))",4,Queens,413,27,33,14,5,LINDEN BOULEVARD,172079,4,62597,QN1304,QN,Community,Cambria Heights,X,AREA OF MINIMAL FLOOD HAZARD,,23.88417685
"MULTILINESTRING ((-73.93966888904212 40.733787918608364, -73.9390949024638 40.73401571159489))",4,Queens,402,26,37,12,12,GREENPOINT AVENUE,65920,4,38084,QN0202,QN,Community,Sunnyside,"AE,X",",AREA OF MINIMAL FLOOD HAZARD",1,179.4224168
"MULTILINESTRING ((-74.24827762819265 40.510517096870814, -74.2474727779042 40.50967470284232))",5,Staten Island,503,51,62,24,11,MAIN STREET,191,4,79961,SI0305,SI,Community,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,,379.8400795
"MULTILINESTRING ((-73.93818933331269 40.72809979806907, -73.93729511219986 40.729300556513586))",3,Brooklyn,301,33,50,18,12,APOLLO STREET,66047,5,114,BK0101,BK,Baseline,Greenpoint,"AE,X",",AREA OF MINIMAL FLOOD HAZARD","0,1,2,5",502.8018316
"MULTILINESTRING ((-74.10185451408121 40.60833292762179, -74.10194169240052 40.60841056539416))",5,Staten Island,502,50,63,24,11,OCEAN TERRACE,114843,5,73512,SI0203,SI,Baseline,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,X,AREA OF MINIMAL FLOOD HAZARD,,37.22904921
"MULTILINESTRING ((-74.10185451408121 40.60833292762179, -74.10194169240052 40.60841056539416))",5,Staten Island,502,50,63,24,11,OCEAN TERRACE,114843,5,73512,SI0203,SI,Baseline,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,X,AREA OF MINIMAL FLOOD HAZARD,,37.22904921
"MULTILINESTRING ((-73.98773807908778 40.7737312652068, -73.98800196634228 40.77384553887941))",1,Manhattan,107,6,67,31,10,WEST 63 STREET,9006880,3,33201,MN0701,MN,Neighborhood,Upper West Side-Lincoln Square,X,AREA OF MINIMAL FLOOD HAZARD,,84.11598616
"MULTILINESTRING ((-73.98773807908778 40.7737312652068, -73.98800196634228 40.77384553887941))",1,Manhattan,107,6,67,31,10,WEST 63 STREET,9006880,3,33201,MN0701,MN,Neighborhood,Upper West Side-Lincoln Square,X,AREA OF MINIMAL FLOOD HAZARD,,84.11598616
"MULTILINESTRING ((-74.1060509821133 40.63059878542623, -74.10584188760429 40.63031496305916))",5,Staten Island,501,49,61,24,11,BARD AVENUE,12921,4,68500,SI0104,SI,Community,West New Brighton-Silver Lake-Grymes Hill,X,AREA OF MINIMAL FLOOD HAZARD,,118.5784864
"MULTILINESTRING ((-73.81979394202125 40.890108046471, -73.81948724388384 40.89028997982097))",2,Bronx,212,13,82,34,14,BOSTON ROAD,180065,4,28792,BX1202,BX,Community,Eastchester-Edenwald-Baychester,X,AREA OF MINIMAL FLOOD HAZARD,"3,4",107.6320009
"MULTILINESTRING ((-73.81984892265194 40.890075436506756, -73.81979394202125 40.890108046471))",2,Bronx,212,13,82,34,14,BOSTON ROAD,180064,4,28792,BX1202,BX,Community,Eastchester-Edenwald-Baychester,X,AREA OF MINIMAL FLOOD HAZARD,"3,4",19.29378581
"MULTILINESTRING ((-73.93160506440765 40.71801033157547, -73.92467622407347 40.71988569576169))",3,Brooklyn,301,34,53,18,12,MASPETH AVENUE,66229,4,1664,BK0104,BK,Community,East Williamsburg,"AE,X",",0.2 PCT ANNUAL CHANCE FLOOD HAZARD,AREA OF MINIMAL FLOOD HAZARD","0,1,5",2038.597222
"MULTILINESTRING ((-73.98756150766116 40.77365480259546, -73.9875921678141 40.77366807931302))",1,Manhattan,107,6,67,31,10,WEST 63 STREET,9008057,3,33201,MN0701,MN,Neighborhood,Upper West Side-Lincoln Square,X,AREA OF MINIMAL FLOOD HAZARD,,9.773098604
"MULTILINESTRING ((-73.9325283182361 40.72789132022447, -73.93213397532926 40.728159603154666))",3,Brooklyn,301,33,"50,53",18,12,MEEKER AVENUE,66154,5,338,BK0101,BK,Baseline,"Greenpoint,East Williamsburg","AE,X",",AREA OF MINIMAL FLOOD HAZARD","0,1,4,5",146.6282845
"MULTILINESTRING ((-73.90487526929178 40.6819471173013, -73.90477128508738 40.68205097229407))",3,Brooklyn,304,37,"54,55",18,"7,8",DE SALES PLACE,262350,5,4167,BK0402,BK,Baseline,Bushwick (East),X,AREA OF MINIMAL FLOOD HAZARD,,47.57570765
"MULTILINESTRING ((-73.92926572144813 40.724628436327, -73.92780287193456 40.72501026738409))",3,Brooklyn,301,34,"50,53",18,12,LOMBARDY STREET,66257,5,1837,BK0104,BK,Baseline,East Williamsburg,"AE,X",",0.2 PCT ANNUAL CHANCE FLOOD HAZARD,AREA OF MINIMAL FLOOD HAZARD","0,1,3,5",428.6695637
"MULTILINESTRING ((-73.93087102060493 40.72422014147844, -73.92926572144813 40.724628436327))",3,Brooklyn,301,34,"50,53",18,12,LOMBARDY STREET,66248,5,1335,BK0104,BK,Baseline,East Williamsburg,X,AREA OF MINIMAL FLOOD HAZARD,"1,3,5,6",469.1624167
"MULTILINESTRING ((-74.09736697989617 40.610999767337546, -74.09755525503273 40.610994708858165, -74.09810312090309 40.610961518498726))",5,Staten Island,501,49,63,"24,23",11,NARROWS ROAD NORTH,121957,5,68375,SI0105,SI,Baseline,"West New Brighton-Silver Lake-Grymes Hill,Westerleigh-Castleton Corners",X,AREA OF MINIMAL FLOOD HAZARD,,204.9026692
"MULTILINESTRING ((-73.92229436909507 40.73029313672309, -73.92183706718353 40.7301968698984))",4,Queens,402,30,"30,37","12,15",12,54 DRIVE,66474,5,38333,QN0202,QN,Baseline,Sunnyside,X,AREA OF MINIMAL FLOOD HAZARD,,131.5067965
"MULTILINESTRING ((-73.98763892676203 40.77368832764248, -73.98773807908778 40.7737312652068))",1,Manhattan,107,6,67,31,10,WEST 63 STREET,9006878,3,33201,MN0701,MN,Neighborhood,Upper West Side-Lincoln Square,X,AREA OF MINIMAL FLOOD HAZARD,,31.60567471
"MULTILINESTRING ((-73.98800196634228 40.77384553887941, -73.98814206753774 40.773906206749366))",1,Manhattan,107,6,67,31,10,WEST 63 STREET,9006881,3,33201,MN0701,MN,Neighborhood,Upper West Side-Lincoln Square,X,AREA OF MINIMAL FLOOD HAZARD,,44.65795959
"MULTILINESTRING ((-74.2452071430341 40.506834575815496, -74.24432930196458 40.50429131702765))",5,Staten Island,503,51,62,24,11,CHELSEA STREET,258,5,79806,SI0305,SI,Baseline,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,5,958.1858996
"MULTILINESTRING ((-74.13975356639949 40.56272227975126, -74.13977430965679 40.56257967414597, -74.13981372431303 40.56243865775098, -74.1398713777586 40.562301329300674, -74.13994628228474 40.562169716155836))",5,Staten Island,503,51,62,24,11,CROFT COURT,6916,5,75564,SI0301,SI,Baseline,Great Kills-Eltingville,X,AREA OF MINIMAL FLOOD HAZARD,,209.6093143
"MULTILINESTRING ((-74.24253727049663 40.5046516574095, -74.24168150984235 40.50215939181316))",5,Staten Island,503,51,62,24,11,MANHATTAN STREET,256,4,79734,SI0305,SI,Community,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,"1,5",938.6591773
"MULTILINESTRING ((-73.91071400538752 40.71792891026736, -73.91043462318486 40.717979346069775))",4,Queens,405,30,37,15,7,59 AVENUE,66837,5,41748,QN0501,QN,Baseline,Maspeth,X,AREA OF MINIMAL FLOOD HAZARD,6,79.59652597
"MULTILINESTRING ((-74.24291981616811 40.50839451616235, -74.24315594514515 40.50835170908672))",5,Staten Island,503,51,62,24,11,ACADEMY AVENUE,269,3,79379,SI0305,SI,Neighborhood,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,,67.48889747
"MULTILINESTRING ((-73.91278746366348 40.72078826889168, -73.91232114297401 40.71934838618209))",4,Queens,405,30,37,"12,15","7,12",57 STREET,66844,4,41750,QN0501,QN,Community,Maspeth,X,AREA OF MINIMAL FLOOD HAZARD,"4,6",540.2843713
"MULTILINESTRING ((-74.24499003072712 40.50962132381831, -74.24474358038508 40.50892146036353))",5,Staten Island,503,51,62,24,11,BRIGHTON STREET,278,4,79892,SI0305,SI,Community,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,,264.0254574
"MULTILINESTRING ((-74.24374143218623 40.509991597792805, -74.24499003072712 40.50962132381831))",5,Staten Island,503,51,62,24,11,AMBOY ROAD,281,5,79383,SI0305,SI,Baseline,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,,372.4858889
"MULTILINESTRING ((-73.93025749680018 40.77548170526598, -73.9310456688451 40.77398073049291))",4,Queens,401,22,37,12,12,9 STREET,68565,4,36780,QN0102,QN,Community,Old Astoria-Hallets Point,X,AREA OF MINIMAL FLOOD HAZARD,"2,5,6",588.8172771
"MULTILINESTRING ((-73.93220061823797 40.79635950802496, -73.93128862778974 40.79596891821366))",1,Manhattan,111,8,68,"30,29",13,EAST 118 STREET,68592,3,35299,MN1102,MN,Neighborhood,East Harlem (North),"AE,X",",0.2 PCT ANNUAL CHANCE FLOOD HAZARD","2,3",289.8508298
"MULTILINESTRING ((-74.24172674316046 40.499477698962366, -74.24262091174396 40.49930860985764))",5,Staten Island,503,51,62,24,11,BILLOP AVENUE,315,4,79932,SI0305,SI,Community,Tottenville-Charleston,AE,,"1,2",256.19834
"MULTILINESTRING ((-74.24082131301171 40.499659069083705, -74.24172674316046 40.499477698962366))",5,Staten Island,503,51,62,24,11,BILLOP AVENUE,318,4,79782,SI0305,SI,Community,Tottenville-Charleston,AE,,1,260.338413
"MULTILINESTRING ((-73.91133533634374 40.67207645313644, -73.91115995539452 40.67215535069854))",3,Brooklyn,316,41,55,"20,19","9,8",EAST NEW YORK AVENUE,9007463,5,15791,BK1601,BK,Baseline,"Ocean Hill,Brownsville",X,AREA OF MINIMAL FLOOD HAZARD,,56.50740938
"MULTILINESTRING ((-74.24168150984235 40.50215939181316, -74.24258832958331 40.501978399293435))",5,Staten Island,503,51,62,24,11,CLERMONT AVENUE,324,5,79412,SI0305,SI,Baseline,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,"1,5",260.6682878
"MULTILINESTRING ((-73.9214830534888 40.77198047366731, -73.92078518938378 40.77148790688222))",4,Queens,401,22,36,12,12,25 ROAD,68667,5,36941,QN0103,QN,Baseline,Astoria (Central),X,AREA OF MINIMAL FLOOD HAZARD,,263.7588913
"MULTILINESTRING ((-74.24077756658542 40.50234117349386, -74.24168150984235 40.50215939181316))",5,Staten Island,503,51,62,24,11,CLERMONT AVENUE,327,5,79688,SI0305,SI,Baseline,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,"1,2,5",259.9668584
"MULTILINESTRING ((-74.24168150984235 40.50215939181316, -74.24082131301171 40.499659069083705))",5,Staten Island,503,51,62,24,11,MANHATTAN STREET,325,4,79947,SI0305,SI,Community,Tottenville-Charleston,"AE,X",",0.2 PCT ANNUAL CHANCE FLOOD HAZARD,AREA OF MINIMAL FLOOD HAZARD","1,5",941.8136745
"MULTILINESTRING ((-74.02209892094781 40.647658456985276, -74.02203956762273 40.6476224467629))",3,Brooklyn,307,38,51,23,"7,10",55 STREET,17698,5,7414,BK0702,BK,Baseline,Sunset Park (West),X,AREA OF MINIMAL FLOOD HAZARD,"1,5,6",21.05701316
"MULTILINESTRING ((-74.23987314316686 40.50252201249095, -74.24077756658542 40.50234117349386))",5,Staten Island,503,51,62,24,11,CLERMONT AVENUE,329,5,79405,SI0305,SI,Baseline,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,"1,2,5",260.008093
"MULTILINESTRING ((-74.06710781860971 40.5995031009908, -74.06709459207829 40.59936754404347))",5,Staten Island,502,50,64,23,11,HASTINGS STREET,14698,5,71442,SI0201,SI,Baseline,Grasmere-Arrochar-South Beach-Dongan Hills,X,AREA OF MINIMAL FLOOD HAZARD,,49.52326141
"MULTILINESTRING ((-73.92040163808119 40.822061216430164, -73.92011177712479 40.82257210794939))",2,Bronx,"204,201","16,17",79,"32,29",15,CONCOURSE VILLAGE EAST,70081,5,19598,BX0102,BX,Baseline,"Melrose,Concourse-Concourse Village",X,AREA OF MINIMAL FLOOD HAZARD,,202.689041
"MULTILINESTRING ((-74.06294188254725 40.59363462578124, -74.06302615090247 40.593651293301434))",5,Staten Island,502,50,64,23,11,DRURY AVENUE,160680,3,70963,SI0201,SI,Neighborhood,Grasmere-Arrochar-South Beach-Dongan Hills,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,1,24.17824143
"MULTILINESTRING ((-74.24073318876988 40.50501272446818, -74.24163827971078 40.50483162523496))",5,Staten Island,503,51,62,24,11,HYLAN BOULEVARD,343,5,79364,SI0305,SI,Baseline,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,5,260.2026358
"MULTILINESTRING ((-73.91133081167338 40.81523913948102, -73.91097762855227 40.815157516390514))",2,Bronx,201,17,84,"32,29",15,TERRACE PLACE,70373,4,19623,BX0102,BX,Community,Melrose,X,AREA OF MINIMAL FLOOD HAZARD,6,102.1846817
"MULTILINESTRING ((-73.91189669265351 40.82024450882082, -73.91172376899524 40.820213581379356))",2,Bronx,201,17,79,32,15,EAST 157 STREET,70414,4,19634,BX0102,BX,Community,Melrose,X,AREA OF MINIMAL FLOOD HAZARD,6,49.17045009
"MULTILINESTRING ((-73.9096824735264 40.79976309935316, -73.90830303602847 40.79895913461037))",2,Bronx,"201,202",17,"85,84","34,29",15,EAST 134 STREET,70460,5,19227,BX0101,BX,Baseline,Mott Haven-Port Morris,VE,,"0,2",481.3125099
"MULTILINESTRING ((-74.23451698461115 40.5246284129634, -74.23478136750738 40.52477663041364))",5,Staten Island,503,51,62,24,11,SOUTH BRIDGE STREET,184334,5,79912,SI0305,SI,Baseline,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,4,91.20474367
"MULTILINESTRING ((-74.16901204384759 40.5826882699374, -74.16903999901095 40.582491779185744))",5,Staten Island,502,51,63,24,11,RICHMOND AVENUE,184314,3,74460,SI0204,SI,Neighborhood,"New Springville-Willowbrook-Bulls Head-Travis,Freshkills Park (North)",X,AREA OF MINIMAL FLOOD HAZARD,1,72.00640857
"MULTILINESTRING ((-73.92235935353402 40.836263168327946, -73.9223302659514 40.83661173992658))",2,Bronx,204,16,84,29,15,EDWARD L GRANT HIGHWAY,184379,3,21184,BX0402,BX,Neighborhood,"Highbridge,Mount Eden-Claremont (West)",X,AREA OF MINIMAL FLOOD HAZARD,6,127.2523907
"MULTILINESTRING ((-73.92937624666422 40.85148727852796, -73.92971563664175 40.851065506353436))",1,Manhattan,112,10,72,31,13,WASHINGTON TERRACE,71381,4,35786,MN1202,MN,Community,Washington Heights (North),X,AREA OF MINIMAL FLOOD HAZARD,,180.082224
"MULTILINESTRING ((-73.91637971012385 40.827533544716644, -73.91722190453457 40.82780824515182))",2,Bronx,204,16,"77,79",32,15,BONNER PLACE,71923,4,21160,BX0401,BX,Community,Concourse-Concourse Village,X,AREA OF MINIMAL FLOOD HAZARD,,253.6565611
